time,E_hw_wet_well
0.03125,129070.30898871
0.09375,131969.98184958
0.21875,133825.98783356
0.46875,134628.00086757
0.96875,134615.27144301
1.96875,134120.88412069
2.96875,133699.76606636
3.96875,133419.10327775
4.96875,133240.82104293
5.96875,133126.46379571
6.96875,133050.94633409
7.96875,132999.49483178
8.96875,132963.5533893
9.96875,132938.06929522
10.96875,132919.94750083
11.96875,132907.20927212
12.96875,132898.53490767
13.96875,132893.00975722
14.96875,132889.97853632
15.46875,132889.27769158
15.96875,132889.14271102
16.96875,132889.80076677
17.96875,132891.68982562
18.96875,132894.69184447
19.96875,132898.66724795
20.46875,132900.98859735
20.96875,132903.22580036
21.96875,132908.51785198
22.46875,132911.4823212
23.46875,132917.87219242
24.46875,132924.79437433
25.46875,132932.18395083
26.46875,132939.98709674
27.46875,132948.15820998
27.96875,132952.37229257
28.96875,132961.02784037
29.96875,132969.96080981
30.96875,132979.14588862
31.96875,132988.55997687
32.96875,132998.18247009
33.96875,133007.99511226
34.96875,133017.98172599
35.96875,133028.12795245
36.96875,133038.42096874
37.96875,133048.84934141
38.96875,133059.40281853
39.96875,133070.07218072
40,133070.40745714
